Score,Lineup,score2
4.0,"['7', '17', '2', '4', '11', '3', '1', '5', '19']",3.96038151011723
4.0,"['7', '4', '3', '2', '17', '5', '11', '14', '13']",3.892104180555755
5.0,"['7', '4', '3', '2', '12', '17', '5', '11', '13']",4.118126645204936
2.0,"['3', '17', '2', '4', '11', '12', '1', '5', '19']",3.9647372589173417
11.0,"['7', '17', '2', '4', '11', '3', '1', '5', '19']",3.96038151011723
2.0,"['7', '17', '2', '4', '12', '5', '11', '14', '13']",4.14053140849245
1.0,"['7', '17', '2', '4', '11', '12', '1', '5', '19']",4.208840283703362
4.0,"['14', '17', '2', '4', '12', '5', '15', '13', '18']",3.6501024825539257
11.0,"['14', '17', '2', '4', '11', '5', '1', '12', '19']",3.986304686671132
1.0,"['14', '17', '2', '4', '11', '5', '1', '12', '19']",3.986304686671132
,[],0.0
,"['7', '4', '4', '2', '9', '8', '9', '5', '1']",4.774856054089678
